detector,camouflage,gamma,n_seeds,full,full_std,no_edges,no_edges_std,rand_feats,rand_feats_std,reliance,reliance_std,attr_share
AnomalyDAE,global,0.0,5,0.9859705263157895,0.017655305951890174,0.5285810526315788,0.10323396507790623,0.4824378947368421,0.032356290067392005,0.4573894736842107,0.10473280944365625,1.0
AnomalyDAE,global,0.1,5,0.9097684210526316,0.09060388109070197,0.3277515789473684,0.15115031310703453,0.48389052631578944,0.03316021846494168,0.5820168421052632,0.17622565199497103,1.0
AnomalyDAE,global,0.2,5,0.8949894736842104,0.06060176898764702,0.2838905263157895,0.10903646943839491,0.4811621052631579,0.03272963332374692,0.611098947368421,0.1247458459108846,1.0
AnomalyDAE,global,0.3,5,0.7856463157894737,0.07094422982281469,0.15697684210526316,0.06206874680255668,0.4793557894736842,0.0376795898372674,0.6286694736842106,0.09426352992961932,1.0
AnomalyDAE,global,0.4,5,0.6410863157894736,0.08150648272230733,0.0576,0.02098495965819224,0.48258526315789474,0.031346814883239676,0.5834863157894736,0.08416457246144449,1.0
AnomalyDAE,global,0.5,5,0.4494863157894737,0.07582482012019799,0.029873684210526323,0.02264801850896169,0.481258947368421,0.03307881095311651,0.41961263157894735,0.07913492331861234,-0.6289905809785772
AnomalyDAE,global,0.6,5,0.3032378947368421,0.0681413934912195,0.003755789473684215,0.005951337287741753,0.47089263157894734,0.0329993758020375,0.2994821052631579,0.0684007889021587,-0.8520682202392414
AnomalyDAE,global,0.7,5,0.18514526315789473,0.04319278846137687,0.00010947368421052683,0.00013594849929231896,0.4788842105263158,0.028186604154094436,0.1850357894736842,0.043193002408535006,-0.9329348204017225
AnomalyDAE,global,0.8,5,0.12512842105263158,0.0591603531985883,0.000993684210526316,0.0013672383553066404,0.4856084210526316,0.029265670471459327,0.12413473684210527,0.05917615002094964,-0.9616093090124899
AnomalyDAE,global,0.9,5,0.09042947368421053,0.045528839844847006,0.0,0.0,0.4878863157894737,0.03306137866155571,0.09042947368421053,0.045528839844847006,-0.9704234474108953
AnomalyDAE,global,1.0,5,0.10085473684210526,0.07368043689585067,0.0,0.0,0.4799136842105264,0.032101156251558634,0.10085473684210526,0.07368043689585067,-0.9496766775319896
AnomalyDAE,local,0.0,5,0.9460715789473685,0.10654251343466176,0.4692884210526316,0.2349064732377017,0.4830821052631579,0.038620714376450496,0.4767831578947369,0.2579386716604359,1.0
AnomalyDAE,local,0.1,5,0.9374357894736842,0.04036889837088291,0.41033684210526317,0.19715439511323443,0.48044631578947367,0.03582067803754212,0.5270989473684211,0.20124488432788554,1.0
AnomalyDAE,local,0.2,5,0.8348294736842105,0.06757683157861867,0.2541473684210526,0.049604414065049125,0.48251789473684215,0.03329738944788795,0.5806821052631579,0.08382855158561335,1.0
AnomalyDAE,local,0.3,5,0.5750863157894737,0.07927474382368098,0.15098105263157896,0.04754635026816164,0.4791578947368421,0.028447508154873728,0.4241052631578947,0.09243992877611364,1.0
AnomalyDAE,local,0.4,5,0.2874021052631579,0.067166184276385,0.18522526315789473,0.089687972987547,0.4801347368421053,0.031213991464692482,0.10217684210526318,0.11205011739781563,-0.9065594549631626
AnomalyDAE,local,0.5,5,0.2206357894736842,0.13970246689882657,0.06641684210526316,0.09773151463529349,0.4761473684210526,0.028293992784703115,0.15421894736842104,0.17049407089551916,-0.91461815551101
AnomalyDAE,local,0.6,5,0.005903157894736847,0.004294494317197685,0.07940631578947369,0.10200070761798978,0.48371789473684207,0.0337451212437625,-0.07350315789473684,0.10209107226398928,-0.9670467327947642
AnomalyDAE,local,0.7,5,0.0002736842105263171,0.0003566541967599462,0.04717473684210526,0.10333313943924857,0.4773852631578947,0.029394142292436972,-0.04690105263157895,0.10333375493316428,-0.9547457555714707
AnomalyDAE,local,0.8,5,0.046227368421052635,0.1033557698335934,0.03760842105263157,0.08409498600011839,0.4797894736842105,0.03157291872278996,0.008618947368421066,0.13324556963837425,-0.9554611166269218
AnomalyDAE,local,0.9,5,0.0791621052631579,0.10856678647106463,0.17887999999999998,0.11268593317103089,0.48634947368421055,0.029809495224511415,-0.09971789473684209,0.1564764092739854,-0.9675634573632553
