detector,group,condition,camouflage,gamma,seed,n_nodes,auc,ap
CoLA,indirect,A,global,0.1,4,1000,0.6476842105263159,0.118224078252422
CoLA,indirect,A,global,0.2,0,1000,0.7332842105263158,0.2180125776449162
CoLA,indirect,A,global,0.2,1,1000,0.7846526315789474,0.2289161716609447
CoLA,indirect,A,global,0.2,2,1000,0.7453894736842105,0.2138690764112051
CoLA,indirect,A,global,0.2,3,1000,0.7141894736842105,0.2101588321214631
CoLA,indirect,A,global,0.2,4,1000,0.696821052631579,0.1636157705281099
CoLA,indirect,A,global,0.3,0,1000,0.6976,0.1500964391632002
CoLA,indirect,A,global,0.3,1,1000,0.7547789473684211,0.3059276401482063
CoLA,indirect,A,global,0.3,2,1000,0.7286947368421053,0.1733063453772514
CoLA,indirect,A,global,0.3,3,1000,0.7857263157894737,0.2679290523365065
CoLA,indirect,A,global,0.3,4,1000,0.684821052631579,0.1224970337690261
CoLA,indirect,A,global,0.4,0,1000,0.6917263157894736,0.1063036256207483
CoLA,indirect,A,global,0.4,1,1000,0.7496842105263157,0.2800428047316087
CoLA,indirect,A,global,0.4,2,1000,0.8028105263157895,0.3121311211955827
CoLA,indirect,A,global,0.4,3,1000,0.7683368421052631,0.3119849878249665
CoLA,indirect,A,global,0.4,4,1000,0.7413263157894736,0.2375421961226632
CoLA,indirect,A,global,0.5,0,1000,0.7240842105263158,0.1514814081392634
CoLA,indirect,A,global,0.5,1,1000,0.7796000000000001,0.2122582527809245
CoLA,indirect,A,global,0.5,2,1000,0.7809157894736842,0.2339015928607117
CoLA,indirect,A,global,0.5,3,1000,0.8068,0.3247961014782849
CoLA,indirect,A,global,0.5,4,1000,0.7422315789473685,0.2538653156638907
CoLA,indirect,A,global,0.6,0,1000,0.7461263157894736,0.2139300521376194
CoLA,indirect,A,global,0.6,1,1000,0.7869684210526317,0.1835649446420612
CoLA,indirect,A,global,0.6,2,1000,0.7907368421052632,0.3188694128192887
CoLA,indirect,A,global,0.6,3,1000,0.7991578947368422,0.215089016252232
CoLA,indirect,A,global,0.6,4,1000,0.7241894736842105,0.1824449712848326
CoLA,indirect,A,global,0.7,0,1000,0.8567368421052632,0.3851204896673527
CoLA,indirect,A,global,0.7,1,1000,0.822378947368421,0.3410794650236031
CoLA,indirect,A,global,0.7,2,1000,0.7747157894736842,0.3375605040052004
CoLA,indirect,A,global,0.7,3,1000,0.8350947368421052,0.4212001950049336
CoLA,indirect,A,global,0.7,4,1000,0.7648,0.2391651132997533
CoLA,indirect,A,global,0.8,0,1000,0.8447157894736842,0.4263857953283055
