camouflage,gamma,auc_full,auc_full_std,auc_bare,auc_bare_std,delta
global,0.0,0.7252631578947368,0.026779394236589302,0.39143578947368424,0.05720000914321065,0.3338273684210526
global,0.1,0.7369557894736841,0.040476656054058584,0.4370231578947369,0.07194259157899784,0.29993263157894723
global,0.2,0.6969052631578947,0.04334304009473424,0.5018526315789474,0.07706921420640897,0.19505263157894726
global,0.3,0.7312294736842105,0.033012340444243726,0.6129768421052632,0.052584818975666345,0.11825263157894739
global,0.4,0.7508084210526316,0.0405239930434843,0.7067684210526315,0.045014627354897425,0.04404000000000008
global,0.5,0.7523368421052631,0.04082429779994662,0.7957600000000001,0.05134754985833594,-0.04342315789473705
global,0.6,0.7641221052631579,0.016764713767339737,0.8791157894736841,0.017809540846196834,-0.11499368421052614
global,0.7,0.77312,0.025671394213918872,0.9440421052631578,0.013593513199612304,-0.17092210526315776
global,0.8,0.8115494736842104,0.023760267493387822,0.9752210526315789,0.007063313199327959,-0.1636715789473685
global,0.9,0.7958863157894738,0.03447489007131655,0.9886273684210526,0.0025127495397089315,-0.1927410526315788
global,1.0,0.7948610526315789,0.021619182412835326,0.9901726315789474,0.003685555243314556,-0.1953115789473685
local,0.0,0.7076126315789474,0.02009347066673405,0.38672842105263155,0.06017192815089213,0.3208842105263158
local,0.1,0.71392,0.016321997596500458,0.4294673684210526,0.02133589185950386,0.2844526315789474
local,0.2,0.6931578947368422,0.036221665361372446,0.5170021052631579,0.03660470302647609,0.17615578947368427
local,0.3,0.6845978947368421,0.017770479302090858,0.5842357894736843,0.04837235335942512,0.10036210526315781
local,0.4,0.641738947368421,0.04378604561480423,0.6821094736842105,0.07537538503551461,-0.04037052631578952
local,0.5,0.6359452631578947,0.043169478496782966,0.7569810526315789,0.03227662320535044,-0.12103578947368421
local,0.6,0.6420505263157895,0.05241676346857723,0.8479494736842105,0.030120648552979048,-0.20589894736842096
local,0.7,0.6233768421052631,0.04248328119582376,0.8926526315789474,0.023472530535728172,-0.26927578947368425
local,0.8,0.5717263157894736,0.016047309557814388,0.9218315789473683,0.011229592879204746,-0.3501052631578947
local,0.9,0.5331578947368422,0.0312895143198355,0.9271031578947369,0.0045938482290174745,-0.3939452631578947
local,1.0,0.4765642105263158,0.030793986965656096,0.9078821052631578,0.018650077525033257,-0.431317894736842
