detector,camouflage,gamma,seed,n_seeds,condition,auc
AnomalyDAE,global,0.5,3,5,rand_feats,0.4435368421052632
AnomalyDAE,global,0.5,4,5,full,0.38901052631578953
AnomalyDAE,global,0.5,4,5,no_edges,0.01981052631578948
AnomalyDAE,global,0.5,4,5,rand_feats,0.4666947368421053
AnomalyDAE,global,0.6,0,5,full,0.23452631578947367
AnomalyDAE,global,0.6,0,5,no_edges,0.0030105263157894965
AnomalyDAE,global,0.6,0,5,rand_feats,0.4534736842105263
AnomalyDAE,global,0.6,1,5,full,0.2999368421052631
AnomalyDAE,global,0.6,1,5,no_edges,6.315789473684274e-05
AnomalyDAE,global,0.6,1,5,rand_feats,0.5111368421052631
AnomalyDAE,global,0.6,2,5,full,0.359221052631579
AnomalyDAE,global,0.6,2,5,no_edges,0.0009473684210526323
AnomalyDAE,global,0.6,2,5,rand_feats,0.49517894736842105
AnomalyDAE,global,0.6,3,5,full,0.3839789473684211
AnomalyDAE,global,0.6,3,5,no_edges,0.014210526315789476
AnomalyDAE,global,0.6,3,5,rand_feats,0.42818947368421056
AnomalyDAE,global,0.6,4,5,full,0.23852631578947364
AnomalyDAE,global,0.6,4,5,no_edges,0.0005473684210526297
AnomalyDAE,global,0.6,4,5,rand_feats,0.4664842105263158
AnomalyDAE,global,0.7,0,5,full,0.12593684210526315
AnomalyDAE,global,0.7,0,5,no_edges,0.00033684210526315763
AnomalyDAE,global,0.7,0,5,rand_feats,0.45793684210526314
AnomalyDAE,global,0.7,1,5,full,0.17726315789473684
AnomalyDAE,global,0.7,1,5,no_edges,0.0
AnomalyDAE,global,0.7,1,5,rand_feats,0.5029052631578947
AnomalyDAE,global,0.7,2,5,full,0.2075578947368421
AnomalyDAE,global,0.7,2,5,no_edges,6.315789473684496e-05
AnomalyDAE,global,0.7,2,5,rand_feats,0.5136000000000001
AnomalyDAE,global,0.7,3,5,full,0.24208421052631576
AnomalyDAE,global,0.7,3,5,no_edges,2.105263157894832e-05
AnomalyDAE,global,0.7,3,5,rand_feats,0.44896842105263157
AnomalyDAE,global,0.7,4,5,full,0.17288421052631578
AnomalyDAE,global,0.7,4,5,no_edges,0.00012631578947368329
AnomalyDAE,global,0.7,4,5,rand_feats,0.47101052631578944
AnomalyDAE,global,0.8,0,5,full,0.08174736842105264
AnomalyDAE,global,0.8,0,5,no_edges,0.002294736842105265
AnomalyDAE,global,0.8,0,5,rand_feats,0.46642105263157896
AnomalyDAE,global,0.8,1,5,full,0.09317894736842106
AnomalyDAE,global,0.8,1,5,no_edges,0.0
AnomalyDAE,global,0.8,1,5,rand_feats,0.5109263157894738
AnomalyDAE,global,0.8,2,5,full,0.15627368421052631
AnomalyDAE,global,0.8,2,5,no_edges,0.002673684210526315
AnomalyDAE,global,0.8,2,5,rand_feats,0.5221684210526316
AnomalyDAE,global,0.8,3,5,full,0.21486315789473684
AnomalyDAE,global,0.8,3,5,no_edges,0.0
AnomalyDAE,global,0.8,3,5,rand_feats,0.4550736842105263
AnomalyDAE,global,0.8,4,5,full,0.07957894736842105
